text,text_clean
ketahanan ekonomi domestik dan psikologi pasar di era global analisis atas narasi desa tidak pakai dolarbrbrabstrakbrbrpernyataan presiden indonesia prabowo subianto bahwa orang desa tidak pakai dolar memunculkan perdebatan luas di ruang publik sebagian pihak mengkritik pernyataan tersebut sebagai penyederhanaan ekonomi modern sementara pihak lain melihatnya sebagai pesan psikologis untuk mencegah kepanikan publik serta penekanan terhadap pentingnya ketahanan ekonomi domestik paper ini membahas bagaimana psikologi pasar persepsi publik dan kemandirian produksi nasional berperan dalam stabilitas ekonomi suatu negara penelitian ini menggunakan pendekatan analisis konseptual terhadap hubungan antara nilai tukar perilaku masyarakat serta pentingnya produksi lokal dalam menghadapi tekanan ekonomi globalbrbrpendahuluanbrbrdalam sistem ekonomi modern nilai tukar mata uang memiliki pengaruh besar terhadap harga barang investasi perdagangan dan stabilitas sosial pelemahan mata uang sering memicu kekhawatiran masyarakat mengenai inflasi kenaikan harga dan kemungkinan krisis ekonomi namun di sisi lain kepanikan massal juga dapat mempercepat kerusakan ekonomi itu sendiribrbrpernyataan orang desa tidak pakai dolar dapat dipahami bukan sekadar sebagai komentar literal mengenai penggunaan mata uang melainkan sebagai pesan politik dan psikologis untuk menjaga ketenangan publik di tengah tekanan ekonomi globalbrbrpaper ini berargumen bahwa terdapat dua lapisan penting dalam narasi tersebutbrbrupaya menjaga stabilitas psikologis masyarakatbrbrpenekanan terhadap pentingnya ekonomi domestik yang tidak sepenuhnya bergantung pada impor dan dolar amerika serikatbrbrpsikologi pasar dan efek kepanikanbrbrekonomi modern tidak hanya dibangun di atas angka dan data tetapi juga kepercayaan sistem perbankan investasi pasar saham dan mata uang sangat dipengaruhi oleh persepsi publikbrbrketika masyarakat percaya bahwa ekonomi akan runtuh maka perilaku yang muncul dapat mempercepat krisis sepertibrbrpenarikan dana besarbesaranbrbrpembelian dolar secara panikbrbrpenghentian investasibrbrpenimbunan barangbrbrserta penyebaran ketakutan di media sosialbrbrfenomena ini dikenal sebagai selffulfilling prophecy yaitu ketika ketakutan terhadap krisis justru membantu menciptakan krisis itu sendiribrbrkarena itu banyak pemerintah dan bank sentral menggunakan strategi komunikasi untuk menjaga kepercayaan publik dalam konteks ini pernyataan yang menenangkan masyarakat dapat dipahami sebagai bentuk confidence managementbrbrketergantungan terhadap dolar dan imporbrbrwalaupun masyarakat desa tidak secara langsung menggunakan dolar dalam transaksi seharihari nilai tukar dolar tetap memengaruhi kehidupan rakyat melalui jalur tidak langsungbrbrindonesia masih bergantung pada impor dalam beberapa sektor penting sepertibrbrenergi dan bbmbrbrgandumbrbrobatobatanbrbrmesin industribrbrteknologi elektronikbrbrserta bahan baku tertentubrbrketika rupiah melemah terhadap dolarbrbrbiaya impor meningkatbrbrharga produksi naikbrbrinflasi terdorongbrbrdan daya beli masyarakat menurunbrbrdengan demikian kritik terhadap pernyataan tersebut memiliki dasar ekonomi yang valid namun fokus utama dari narasi tersebut kemungkinan bukan menyangkal pengaruh dolar melainkan menekankan bahwa ekonomi rakyat tidak boleh sepenuhnya dikendalikan oleh dinamika eksternalbrbrpentingnya ketahanan ekonomi domestikbrbrsalah satu pelajaran utama dari berbagai krisis global adalah pentingnya ketahanan nasional dalam sektor strategisbrbrnegara yang mampu memenuhi kebutuhan dasarnya sendiri cenderung lebih tahan terhadap gejolak global ketahanan tersebut mencakupbrbr ketahanan panganbrbrkemampuan memproduksi pangan domestik mengurangi ketergantungan pada impor dan fluktuasi harga globalbrbr ketahanan energibrbrketergantungan tinggi pada impor energi membuat negara rentan terhadap perang konflik geopolitik dan kenaikan harga minyak duniabrbr industrialisasi nasionalbrbrkemampuan memproduksi barang bernilai tambah di dalam negeri membantu menciptakan lapangan kerja dan mengurangi tekanan terhadap nilai tukarbrbr kemandirian teknologibrbrnegara yang hanya menjadi konsumen teknologi akan lebih mudah terdampak oleh perubahan global dibanding negara yang memiliki kapasitas inovasi sendiribrbrglobalisasi dan batas kemandirianbrbrwalaupun kemandirian ekonomi penting tidak ada negara modern yang sepenuhnya terlepas dari perdagangan global dunia saat ini saling terhubung melaluibrbrrantai pasok internasionalbrbrperdagangan energibrbrteknologibrbrsistem keuanganbrbrdan investasi lintas negarabrbrkarena itu tujuan realistis bukanlah isolasi ekonomi total melainkan keseimbangan antarabrbrketerbukaan ekonomibrbrefisiensi globalbrbrdan kemampuan bertahan saat krisisbrbrbanyak negara besar mulai bergerak ke arah ini melalui strategibrbrreshoringbrbrdeglobalisasi terbatasbrbrindustrial policybrbrserta penguatan supply chain nasionalbrbrkesimpulanbrbrpernyataan orang desa tidak pakai dolar dapat dipahami sebagai pesan politik yang memiliki dimensi psikologis dan strategis dari sudut pandang ekonomi teknis dolar tetap memengaruhi kehidupan masyarakat secara tidak langsung melalui harga impor dan inflasi namun dari sudut pandang stabilitas sosial menjaga ketenangan publik juga merupakan bagian penting dari manajemen ekonomi nasionalbrbrselain itu narasi tersebut menyoroti isu yang lebih mendalam pentingnya membangun ekonomi domestik yang kuat agar kehidupan rakyat tidak terlalu ditentukan oleh gejolak eksternalbrbrdalam dunia yang semakin tidak stabil secara geopolitik dan ekonomi ketahanan pangan energi industri dan teknologi menjadi fondasi utama bagi stabilitas jangka panjang suatu negarabrbrpenutupbrbrekonomi bukan hanya persoalan angka tetapi juga kepercayaan ketahanan dan kemampuan suatu bangsa menjaga keseimbangan antara keterhubungan global dan kekuatan domestik dalam konteks ini perdebatan mengenai dolar sesungguhnya mencerminkan pertanyaan yang lebih besar seberapa mandiri suatu negara mampu bertahan di tengah dunia yang terus berubah,tahan ekonomi domestik psikologi pasar era global analisis atas narasi desa tidak pakai dolarbrbrabstrakbrbrpernyataan presiden indonesia prabowo subianto bahwa desa tidak pakai dolar muncul debat luas ruang publik bagi pihak kritik nyata bagai sederhana ekonomi modern sementara pihak lain lihat bagai pesan psikologis cegah panik publik serta tekan hadap penting tahan ekonomi domestik paper bahas bagaimana psikologi pasar persepsi publik mandiri produksi nasional peran dalam stabilitas ekonomi suatu negara teliti guna dekat analisis konseptual hadap hubung antara nilai tukar perilaku masyarakat serta penting produksi lokal dalam hadap tekan ekonomi globalbrbrpendahuluanbrbrdalam sistem ekonomi modern nilai tukar mata uang milik pengaruh besar hadap harga barang investasi dagang stabilitas sosial lemah mata uang sering picu khawatir masyarakat kena inflasi naik harga mungkin krisis ekonomi sisi lain panik massal dapat cepat rusa ekonomi sendiribrbrpernyataan desa tidak pakai dolar dapat paham bukan sekadar bagai komentar literal kena guna mata uang bagai pesan politik psikologis jaga tenang publik tengah tekan ekonomi globalbrbrpaper argumen bahwa dapat dua lapis penting dalam narasi tersebutbrbrupaya jaga stabilitas psikologis masyarakatbrbrpenekanan hadap penting ekonomi domestik tidak sepenuh gantung impor dolar amerika serikatbrbrpsikologi pasar efek kepanikanbrbrekonomi modern tidak hanya bangun atas angka data percaya sistem perban investasi pasar saham mata uang sangat pengaruh persepsi publikbrbrketika masyarakat percaya bahwa ekonomi runtuh perilaku muncul dapat cepat krisis sepertibrbrpenarikan dana besarbesaranbrbrpembelian dolar cara panikbrbrpenghentian investasibrbrpenimbunan barangbrbrserta sebar takut media sosialbrbrfenomena kenal bagai selffulfilling prophecy ketika takut hadap krisis justru bantu cipta krisis sendiribrbrkarena perintah bank sentral guna strategi komunikasi jaga percaya publik dalam konteks nyata tenang masyarakat dapat paham bagai bentuk confidence managementbrbrketergantungan hadap dolar imporbrbrwalaupun masyarakat desa tidak cara langsung guna dolar dalam transaksi seharihari nilai tukar dolar tetap pengaruh hidup rakyat lalu jalur tidak langsungbrbrindonesia masih gantung impor dalam beberapa sektor penting sepertibrbrenergi bbmbrbrgandumbrbrobatobatanbrbrmesin industribrbrteknologi elektronikbrbrserta bahan baku tertentubrbrketika rupiah lemah hadap dolarbrbrbiaya impor meningkatbrbrharga produksi naikbrbrinflasi terdorongbrbrdan daya beli masyarakat menurunbrbrdengan kritik hadap nyata milik dasar ekonomi valid fokus utama narasi mungkin bukan sangkal pengaruh dolar tekan bahwa ekonomi rakyat tidak boleh sepenuh kendali dinamika eksternalbrbrpentingnya tahan ekonomi domestikbrbrsalah satu ajar utama bagai krisis global penting tahan nasional dalam sektor strategisbrbrnegara mampu penuh butuh dasar sendiri cenderung lebih tahan hadap gejolak global tahan mencakupbrbr tahan panganbrbrkemampuan produksi pangan domestik kurang gantung impor fluktuasi harga globalbrbr tahan energibrbrketergantungan tinggi impor energi buat negara rentan hadap perang konflik geopolitik naik harga minyak duniabrbr industrialisasi nasionalbrbrkemampuan produksi barang nila tambah dalam negeri bantu cipta lapang kerja kurang tekan hadap nilai tukarbrbr mandiri teknologibrbrnegara hanya konsumen teknologi lebih mudah dampak ubah global banding negara milik kapasitas inovasi sendiribrbrglobalisasi batas kemandirianbrbrwalaupun mandiri ekonomi penting tidak negara modern sepenuh lepas dagang global dunia saat saling hubung melaluibrbrrantai pasok internasionalbrbrperdagangan energibrbrteknologibrbrsistem keuanganbrbrdan investasi lintas negarabrbrkarena tuju realistis bukan isolasi ekonomi total imbang antarabrbrketerbukaan ekonomibrbrefisiensi globalbrbrdan mampu tahan saat krisisbrbrbanyak negara besar mulai gerak arah lalu strategibrbrreshoringbrbrdeglobalisasi terbatasbrbrindustrial policybrbrserta kuat supply chain nasionalbrbrkesimpulanbrbrpernyataan desa tidak pakai dolar dapat paham bagai pesan politik milik dimensi psikologis strategis sudut pandang ekonomi teknis dolar tetap pengaruh hidup masyarakat cara tidak langsung lalu harga impor inflasi sudut pandang stabilitas sosial jaga tenang publik rupa bagi penting manajemen ekonomi nasionalbrbrselain narasi sorot isu lebih dalam penting bangun ekonomi domestik kuat hidup rakyat tidak terlalu tentu gejolak eksternalbrbrdalam dunia makin tidak stabil cara geopolitik ekonomi tahan pangan energi industri teknologi fondasi utama bagi stabilitas jangka panjang suatu negarabrbrpenutupbrbrekonomi bukan hanya soal angka percaya tahan mampu suatu bangsa jaga imbang antara hubung global kuat domestik dalam konteks debat kena dolar sungguh cermin tanya lebih besar berapa mandiri suatu negara mampu tahan tengah dunia terus ubah
presiden goblok,presiden goblok
butul sakali ngana karena cuma yang beli termometer yang kena panas,butul sakal ngana cuma beli termometer kena panas
di sekolah gak diajarin tentang impor mengimpor kah,sekolah tidak ajar tentang impor impor
when ba clownbbrmoves into palace brhe doesnt become a king but the palace become brba circusbbr,when ba clownbbrmoves into palace brhe doesnt become king but palace become brba circusbbr
bego bego bego bego,bego bego bego bego
kita saksikan kejutan apa lagi yang akan di berikan oleh bapak presiden pemikiran beliau terkadang tidak bisa di cerna oleh masyarakat apakah dunia bakalan krisis pangan dan presiden melihat peluang ini sehingga mengungkapkan statement itu liat beberapa waktu kedepan apakah pemikiranku benar adanya,saksi kejut ikan bapak presiden pikir beliau terkadang tidak cerna masyarakat apakah dunia bakal krisis pangan presiden lihat peluang ungkap statement lihat beberapa waktu depan apakah pikir benar ada
rene ngopi karo aku pak bowo tak critani nabi nabi koyoke kurang ngopi pean brkoyok delok ludruk ae,rene ngopi karo bapak bowo tak critani nabi nabi koyoke kurang ngopi pean brkoyok dok ludruk saja
maksudnya masyarakat didesa harus pakai dollar gotu,maksud masyarakat desa harus pakai dollar gotu
aman matamu tidakkah kalian rasakan derita rakyatmu,aman mata tidak kalian rasa derita rakyat
sedih presiden indonesia model begini teknik komunikasinya,sedih presiden indonesia model begini teknik komunikasi
prabowo sukses hancurkan indonesia dia paling bertanggung jawab,prabowo sukses hancur indonesia paling tanggung jawab
umur segitu emang lagi lucu lucu nya,umur segitu memang lucu lucu
di negara lain bbm liter udah ribu di indonesia hanya ribu,negara lain bbm liter ribu indonesia hanya ribu
prabowo jabat tahun aja udh dollar terjun bebas bukannya nyari solusi malah quotorg desa gapake dollarquot otak lu noh sawit ma birahi doang emas jt ngopi doang k layak nih indonesia umr jt indonesian jg layak bubar si kalo pemimpin nya kaya gini lu mah udh kaya setan malah dampak yg paling besar dari melemahannya rupiah itu rakyat yg tinggal di desa kolot yang sering keluar negeri mah aman karna mereka punya dollar rakyat indonesia yg gaji nya cm jt disuruh hidup mati matian di negara dengan pemimpin kolot kaya begini cepet masuk surga rakyat protes karna yang hidup di indonesia bukan elo doang malah di bungkam jembott,prabowo jabat tahun saja dollar terjun bebas bukan cari solusi malah quotorg desa tidak pakai dollarquot otak noh sawit sama birah doang emas juta ngopi doang layak indonesia umr juta indonesian layak bubar pimpin kayak begini mah kayak setan malah dampak paling besar lemah rupiah rakyat tinggal desa kolot sering keluar negeri mah aman punya dollar rakyat indonesia gaji cuma juta suruh hidup mati mati negara pimpin kolot kayak begini cepat masuk surga rakyat protes hidup indonesia bukan lo doang malah bungkam jembott
heran kok bisa ya orang goblok jadi presiden di indonesia,heran kok goblok presiden indonesia
mana janjimu pak wowo ktnya untuk ojol nnti dibawah sepertinya cmn omdo pidatonya sll ga berkelas,mana janji bapak prabowo kata ojol nanti bawah seperti cuman omong doang pidato selalu tidak kelas
marsinah bukanya korban pembungkaman tahun ya,marsinah buka korban bungkam tahun
semangat pak presiden,semangat bapak presiden
elu pikir rakyat bodohmbg woi mbg stop duluduhpretttt,pikir rakyat bodohmbg woi mbak stop duluduhpretttt
yg ngmng badud,omong badud
gk nyesel gw gk nyoblos pilpres kemarin percuma ganti presiden baru mala sama aja kay yang kemarin,tidak sesal tidak nyoblos pilpres kemarin percuma ganti presiden baru mala sama saja kay kemarin
baru tau ada presiden yang ngeremehin rakyatnya sendiri warga desa ini mah presiden npd ngeremehin orang lain dan gak pengen orang lain lebih pinter dari dia,baru tau presiden ngeremehin rakyat sendiri warga desa mah presiden npd ngeremehin lain tidak pengin lain lebih pintar
kalau pidato yg betul sikit lah pak ini bukan masalah pakai dolar atau tidak ini soal ekonomi indonesia masa pidato nya nyasar ke situ,pidato betul sikit bapak bukan masalah pakai dolar tidak soal ekonomi indonesia masa pidato nyasar
presiden tertolol sepanjang sejarah indonesia,presiden tolol panjang sejarah indonesia
bergetar terus tangannya,getar terus tangan
yg tepuk tangan sama bego nya,tepuk tangan sama bego
nasi kucing ajh yg tadinya rb jadi rbya allah bodoh nya presiden kita ini,nasi kucing saja tadi ribu rbya allah bodoh presiden
bwahahahahahaha ketawa rabbids,bwahahahahahaha ketawa rabbids
beliau menasihati pak presiden,beliau nasihat bapak presiden
kok msh ada ya yg tepuk tangan dgn statement beliau kyk gitu wooow menuju indonesia emas,kok masih tepuk tangan statement beliau kayak wow tuju indonesia emas
rakyat bkal nglengserin km pak,rakyat bakal nglengserin bapak
bpk kebanyakan minum vit itu pak kebanyakan vit menggampangkan rakyat miskin,bpk banyak minum vit bapak banyak vit gampang rakyat miskin
apa aku yg goblok g ngerti apa yg diucapkan wowo,goblok tidak erti ucap prabowo
abong gs kolot mh balik deui ka budak pikiran na matak jiga bolon hirup na teh,abong gs kolot mah balik deui budak pikir matak jiga bolon hirup teh
ari pa wowo sok linglung,ari prabowo sok linglung
yasaya pikir bpk pinter dan faham dengan rakyat miskin tetep pak walau rakyat miskin di desa belanja gak pake dolar tapi semua keperluan rakyat kebanyakan import dan di belinya pake dolar jadi semuanya serba mahal cukup x coblos bpk klo bgtu menyesal saya,yasaya pikir bpk pintar faham rakyat miskin tetap bapak walau rakyat miskin desa belanja tidak pakai dolar perlu rakyat banyak import beli pakai dolar semua serba mahal cukup kali coblos bpk sesal
presiden tertolol,presiden tolol
tenang pak di desa kalo pergi masih pake dinosaurus pak nggak pake bensin,tenang bapak desa pergi masih pakai dinosaurus bapak tidak pakai bensin
jangan denial pak kata gue mah melek kali melekkkk,jangan denial bapak kata mah melek kali melekkkk
parah banget,parah banget
omongan lu sampah semuabrpantes sering gagal ternyata setolol ini,omong sampah semuabrpantes sering gagal nyata tolol
indonesia hancur kata beliau kan dulu rupanya dia yg ngancurin,indonesia hancur kata beliau dulu rupa ngancurin
dolar naikbbm naik harga sembako naikpak,dolar naikbbm naik harga sembako naikpak
najis pilih wowo x acara tvquot yg biasa kritik ko gk berani kritik ni org ya,najis pilih prabowo kali acara tvquot biasa kritik kok tidak berani kritik
pak presiden yg terhormat ada itu sudah salah bicara jangan karena org desa ga pakai dolar tapi bapak pikirkan dampaknya kalau dolar itu makin naik otomatis harga juga akan naik kami rakyat kecil yg merasakannya bapak mungkin karena byk duit dan gaji gede jd dgn gampngnya berbicara sprt itu tapi kami rakyat kecil yg buat makan sehari hari aja sulit jd tlg lah bijak dgn katanya itu kalau ga bisa buat rakyat senang ya jgn buat rakyat sakit hati dgn katanya itu ingat yg menjadikan bapak presiden itu rakyat,bapak presiden hormat salah bicara jangan desa tidak pakai dolar bapak pikir dampak dolar makin naik otomatis harga naik rakyat kecil rasa bapak mungkin duit gaji gede gampngnya bicara rakyat kecil buat makan hari hari saja sulit tolong bijak kata tidak buat rakyat senang jangan buat rakyat sakit hati kata ingat jadi bapak presiden rakyat
gebleknya kebangetan,geblek banget
next presiden gibran pulak atau bowo periode duh kalo gini terus nasib indonesia bagaimana bahlil aja berkembang baik masa iya mereka membego terus,next presiden gibran pula bowo periode duh begini terus nasib indonesia bagaimana bahlil saja kembang baik masa bego terus
ga bisa diturunkan paksa kah brkan modal dari rakyat ya,tidak turun paksa brkan modal rakyat
sumpah pusing gw tinggal di indonesia ini kalo bisa keluar negeri apa luar angkasa sekalian otw gw,sumpah pusing tinggal indonesia keluar negeri luar angkasa sekali otw
mimpi buruk gue tuh,mimpi buruk tuh
raw materials medicines fuelall dollars weakening rupiah will put strain on foreign debt everything will trickle down to the masses including villagers,raw materials medicines fuelall dollars weakening rupiah will put strain on foreign debt everything will trickle down masses including villagers
gajah di belakang tepuk tangan,gajah belakang tepuk tangan
pak prabowo tolong kalau bicara jangan ngawur,bapak prabowo tolong bicara jangan ngawur
collapse collabs,collapse collabs
eh gendut kalo orang desa ga pake dolar teruss pake apa,gendut desa tidak pakai dolar terus pakai
dari pada fokus ke mbg kenapa duitnya yang ratusan triliyun gak dipake bangunquot pabrik pengolahan bahan mentah yang rataquot masih ngandelin import bahan jadinya biar gak terlalu berharap dari import bukankah dgn bgtu banyak menyerap tenaga kerja lokal dan hidupkan perekonomian disekitar kawan industri tsb,fokus mbak kenapa duit ratus triliyun tidak pakai bangunquot pabrik olah bahan mentah rataquot masih ngandelin import bahan jadi biar tidak terlalu harap import bukankah serap tenaga kerja lokal hidup ekonomi sekitar kawan industri
iddihbrawalnya gemes lama geregetanbr,iddihbrawalnya gemas lama geregetanbr
tidur aja luuuuu sana,tidur saja luuuuu
contoh pendidikan itu penting,contoh didik penting
bukan solusi pak orang kotapun jg nggak pakai dolar pak,bukan solusi bapak kota tidak pakai dolar bapak
nggak pakai dolar tapi bensin beli negara nggak pakai dolar apa pak,tidak pakai dolar bensin beli negara tidak pakai dolar bapak
biji kau aman,biji kau aman
waduh ora ngerti dia,waduh ora erti
bisanya seorang kepala negara sedangkal ini pemikirannya,bisa orang kepala negara dangkal pikir
prsiden terbodoh seiring waktu selalu dapet pemimpin makin bodoh iq nya korelasi sama penduduknya mangkanya pendididkan itu paling penting,prsiden bodoh iring waktu selalu dapat pimpin makin bodoh iq korelasi sama duduk mangkanya pendididkan paling penting
emang warga itu byk yang bodo konteks si wowo bilang desa g pakek dolar itu maksudnya kalau sampek orang desa pakek dolar baru indo itu colab atau bubar,memang warga bodo konteks prabowo bilang desa tidak pakai dolar maksud sampai desa pakai dolar baru indonesia colab bubar
itu yang tepuk tangan dibelakang prabowo itu penjilat penghianat bangsa,tepuk tangan belakang prabowo jilat penghianat bangsa
dia ga baca komen ga ada yang baca mungkin bunted sesekali sebelum bobo,tidak baca komen tidak baca mungkin bunted sekal belum bobo
kok ga ngerti pemimpin begini,kok tidak erti pimpin begini
sekelas presiden ngomong kayak gini intinya kalau rupiah itu melemah yah lemah tidak ada hubungannya dengan desa kocak,kelas presiden omong kayak begini inti rupiah lemah lemah tidak hubung desa kocak
beli tempe aja bahan bakunya pake dolar pak,beli tempe saja bahan baku pakai dolar bapak
iya pak gakpake dolar tapi bahanbahan pada naik lawaqqqqq lawaqqqqqq,bapak gakpake dolar bahanbahan naik lawaqqqqq lawaqqqqqq
emang beli alatalat pertanian yg import itu dan segala macam pupuk import itu belinya gak pakai dollarbrbremang kedelai import yg masuk ke indonesia dibeli gak pakai dollarbrbremang bbm yg di import dari luar negri dibeli gak pakai dollarbrbrlogikanya kalau harga dollar naik otomatis semua barangbarang yg import dan bbm import jadi naikkalau naik daya beli masyarakat jadi turunrakyat desa pun kena dampaknya buat makan seharihari mereka makin susah karena naiknya bahan sembako sebab dollar naikbrbrgak tau lagi dahgak habis pikirkok bisa sekelas presiden pemikiran dan statementnya begitubrbrpusing dah liatnyamakin ngaco aja negaramakin kesini makin gak jelas,memang beli alatalat tani import segala macam pupuk import beli tidak pakai dollarbrbremang kedelai import masuk indonesia beli tidak pakai dollarbrbremang bbm import luar negeri beli tidak pakai dollarbrbrlogikanya harga dollar naik otomatis barangbarang import bbm import naikkalau naik daya beli masyarakat turunrakyat desa kena dampak buat makan seharihari makin susah naik bahan sembako dollar naikbrbrgak tau dahgak habis pikirkok kelas presiden pikir statementnya begitubrbrpusing liatnyamakin aco saja negaramakin kesini makin tidak jelas
ngeri negri ngeri,ngeri negeri ngeri
orang desa memang ga pake dolar tapi harga kebutuhan pokok semua naik drastis adalah karna efek rupiah melemah atas dolar brbrharga bbm naik plastik naik kedelai naik dll you name it,desa memang tidak pakai dolar harga butuh pokok naik drastis efek rupiah lemah atas dolar brbrharga bbm naik plastik naik kedelai naik dll you name
a hrefhttpswwwyoutubecomwatchvlsqykmfxmampta gunanya org org disitu semua buat apa ya ntar hilang arah lohh,href guna situ buat entar hilang arah
dolar naik yaa ngaruhh lh pak pak utek nya dimna,dolar naik ngaruhh boleh bapak bapak utek dimna
hmmm yayayaa,hmmm yayayaa
pejabat gak bakal noleh sama rakyat kecil,jabat tidak bakal noleh sama rakyat kecil
ini org kyk nya semut ambil semut ambil abu bernyanyi,kayak semut ambil semut ambil abu nyanyi
inilah presiden kita mau ga mau harus terima lah kemarin pilih karena gemoy brdari mbg aja yg di protes sana sini aja tetap tutup mata dan mbudeg dah jelas program buang duit,ini presiden mau tidak mau harus terima kemarin pilih gemoy brdari mbak saja protes saja tetap tutup mata mbudeg jelas program buang duit
betol pak org desa gk pakek dolar yg penting pangan murah ada trimakasih bpk ku,betol bapak desa tidak pakai dolar penting pangan murah trimakasih bpk
omongan macam apa ini pak,omong macam bapak
mencerminkan presiden yg tdk berpendidikan,cermin presiden tidak didik
ini presiden tergoblok,presiden goblok
masih okekuwi lakyo pejabatmu sng do sugih lha kne wong cilik yo dipikir to boss,masih okekuwi lakyo jabat sng sugih kne wong cilik pikir bos
the real asbun,real asbun
yg bunuh marsinah siapa kok gak terungkap,bunuh marsinah kok tidak ungkap
ya allah gimana ini presiden kita ini mendengar kayak gini orang orang pandai di belakang nya kok pada tepuk tangan heran banget,allah bagaimana presiden dengar kayak begini pandai belakang kok tepuk tangan heran banget
dari semua yg pernah menjadi raja di konoha ini si fix sumpah yg paling parahhhhhhhhh,raja konoha fix sumpah paling parahhhhhhhhh
presiden pertama yg ga dpet pujian,presiden pertama tidak dpet puji
pak prabowo mohon bahlil dan yulkipli di ganti karena mobil di bawah cc tidak boleh membeli petralit di rakyat arus bawah resah mohon tunjukkan kehebatannya rakyat mudah di goyang dengan adanya bbm berdampak pada semuanya dapat uang tangkapan banyah semua barang naik kenapa rakyat minta bahlil dinganti karena bahlil bukan mencerminkan golkar yang selalu membela rakyat kenapa yulkipli hasan supaya di ganti nkarena mereka berdua tidak sepaham dengan pak npurboyo dan mohon gibran dinganti semua barang naik ini tanda tanda ligimitasi prabowo di ambang kehancuran kasus jilid yang ada kelompok mau menaikan gibran agar mudah di atur oleh oligarki dan mafia perdagangan cara mengatasi itu dengan mengganti dua menteri ini tujuannya tidak ada menteri yang kebal yang lain agar ada efek jera orang dekatnya saja di sikat apalagi yang balelo,bapak prabowo mohon bahlil yulkipli ganti mobil bawah cc tidak boleh beli petralit rakyat arus bawah resah mohon tunjuk hebat rakyat mudah goyang ada bbm dampak semua dapat uang tangkap banyah barang naik kenapa rakyat minta bahlil dinganti bahlil bukan cermin golkar selalu bela rakyat kenapa yulkipli hasan ganti nkarena dua tidak paham bapak npurboyo mohon gibran dinganti barang naik tanda tanda ligimitasi prabowo ambang hancur kasus jilid kelompok mau naik gibran mudah atur oligarki mafia dagang cara atas ganti dua menteri tuju tidak menteri kebal lain efek jera dekat saja sikat apalagi balelo
sekelas presiden loh bisa ngomong kaya ginibrbrmiris banget,kelas presiden omong kayak ginibrbrmiris banget
