id,text,text_clean,label_inset_lexicon,label_manual,catatan
8099,dia pikir semua rakyat sama seperti orang bdh yg milih dia duluternyata sisanya gak mempan dikasih kata seperti iniyg ada malah tambah yakin kalo kabinet ini makin gak kompeten dan blunder terus,pikir rakyat sama bdh pilih duluternyata sisa tidak mempan kasih kata iniyg malah tambah yakin kabinet makin tidak kompeten blunder terus,Negatif,Negatif,
3746,presidennya omon ya gini,presiden omon begini,Positif,Negatif,
3380,dog speaking,dog speaking,Netral,Negatif,
736,cek lapangan beras gula minyak harga berapa wowo,cek lapang beras gula minyak harga berapa prabowo,Positif,Positif,
7713,presiden tidak ada otak,presiden tidak otak,Positif,Negatif,
9895,wo lo beli minyal pake apa wo..,wo beli minyal pakai wo,Negatif,Negatif,
3551,emang pilihan rakyat indonesia benar pintar,memang pilih rakyat indonesia benar pintar,Negatif,Negatif,
7208,wowo omon omon,prabowo omon omon,Netral,Netral,
40,yg tepuk tangan sama bego nya,tepuk tangan sama bego,Positif,Negatif,
1624,wong ndeso yo ora mangan duwet pak mangane sego,wong ndeso ora mangan duwet bapak mangane sego,Negatif,Negatif,
319,kukira ganti presiden jadi makmur terus main ancurrr,kira ganti presiden makmur terus main hancur,Netral,Negatif,
5131,malu pak malu sampai pada di titik anak anak menjelaskan,malu bapak malu sampai titik anak anak jelas,Negatif,Negatif,
5841,preetttnih bocil pasti suruhan orang tuanya yg warga rt rw biar viral ajabocil mana paham ngatur negarangatur kampungnya aja blm tentu beres,preetttnih bocil pasti suruh tua warga rt rw biar viral ajabocil mana paham atur negarangatur kampung saja belum tentu beres,Negatif,Negatif,
7875,presiden kabinet dan org disekitarnya sotoy padahal mereka tidak mengerti cara menjalankan negara maklum mereka dipilih cuma krn sering nongkrong bareng bos partai cap burung perkututbrtaunya korupsi malak nyolong doang,presiden kabinet sekitar sok tau tidak erti cara jalan negara maklum pilih cuma sering nongkrong bareng bos partai cap burung perkututbrtaunya korupsi malak colong doang,Negatif,Negatif,
1671,apapun yang dibilang media indonesia semua pesanan tdk ada media di indonesia yang pro rakyat dan kemajuan bangsa pengamatpun semua antek asing dan semua pengamat abalabal,apa bilang media indonesia pesan tidak media indonesia pro rakyat maju bangsa amat antek asing amat abalabal,Netral,Negatif,
1200,nggak mikir kalau nilai tukar rupiah rendah itu pertanda ekonomi kita makin tidak aman,tidak mikir nilai tukar rupiah rendah tanda ekonomi makin tidak aman,Netral,Netral,
674,kalau kedelai masih impor tempe tahu mahalbrkalau gandum masih impor mie mahal braduh bebalnya,kedelai masih impor tempe tahu mahalbrkalau gandum masih impor mie mahal braduh bebal,Negatif,Netral,
3405,kami di kampung jadi petani makan seadanya dari kebun udah biasa ngak ngaruh dolar mau naik atau turunyangada dampaknya itu koruptor,kampung tani makan ada kebun biasa tidak ngaruh dolar mau naik turunyangada dampak koruptor,Negatif,Negatif,
566,malah tepuk tangan,malah tepuk tangan,Netral,Netral,
7198,kok begitu ya komentar ri bgmn dgn dampak harga harga pada naik karena tempe tepung gandum berikut olahan nya dll terkait bhn baku impor,kok komentar indonesia bagaimana dampak harga harga naik tempe tepung gandum ikut olah dll kait bahan baku impor,Negatif,Negatif,
8450,ampunnn ni presiden ko bisa ya begini konsep berpikirnya presiden,ampunnn presiden kok begini konsep pikir presiden,Positif,Negatif,
8913,klo dolar naik. semua ikut naik anjrt. gitu aja gatau,dolar naik naik anjrt saja tidak tau,Positif,Negatif,
2754,iya benar di desa ku kirim surat masih pakai elang guys kirim barang pakai babi,benar desa kirim surat masih pakai elang guys kirim barang pakai babi,Negatif,Netral,
4594,orang desa memang tidak ada yang pakai dolar,desa memang tidak pakai dolar,Negatif,Negatif,
7976,emang negara kalau mata uangnya kebanyakan brbikin otaknya gak mau mikir,memang negara mata uang banyak brbikin otak tidak mau mikir,Negatif,Negatif,
8715,ini beneran presiden ngomong begini,benar presiden omong begini,Negatif,Negatif,
8355,pak presiden prabowo subianto benar orang desa tak butuh dolar hidup pranowo,bapak presiden prabowo subianto benar desa tak butuh dolar hidup pranowo,Netral,Negatif,
252,ok tapi harga melonjakpekerjaan susah ga pengaruh dimana nya pak,harga melonjakpekerjaan susah tidak pengaruh mana bapak,Positif,Negatif,
7827,hahahaha kaya jawaban anak tk bossssskaga tau malu lho,hahahaha kayak jawab anak tak bossssskaga tau malu lho,Negatif,Negatif,
9067,"setiap pidato selalu gini, kemaren tu masyarakat miskin nggak maen saham. al hasil investor luar kabur semua, ihsg kinerja paling buruk sedunia dalam rentang ytd",tiap pidato selalu begini kemarin masyarakat miskin tidak main saham al hasil investor luar kabur ihsg kerja paling buruk dunia dalam rentang ytd,Negatif,Negatif,
2261,setiap pidato omon semua gak ada isinya sumpah dengan gufron,tiap pidato omon tidak isi sumpah gufron,Positif,Netral,
7753,ada aja dah perkataan orang didesa gak pake dollar aduhh pak org desa mana tau bentuknya uang dollar org desa uang banyak aja kurasa jarang dimiliki nereka hidup susah pak yang pegang uang dollar ya pastinya para pejabatanak buah bapak iya gak,saja kata desa tidak pakai dollar aduh bapak desa mana tau bentuk uang dollar desa uang saja rasa jarang milik neka hidup susah bapak pegang uang dollar pasti para pejabatanak buah bapak tidak,Negatif,Negatif,
322,sinting sinting wowo,sinting sinting prabowo,Negatif,Negatif,
8347,gembel diwawancarai,gembel wawancara,Negatif,Negatif,
3678,turun aja pak praboworakyat menderita kali anda mimpin,turun saja bapak praboworakyat derita kali anda mimpin,Negatif,Negatif,
5420,setuju sekali bos,tuju sekali bos,Negatif,Netral,
6179,stand up comedy kali ini temanya apa,stand up comedy kali tema,Netral,Netral,
7357,quot akan akan dan akan quot,quot quot,Netral,Netral,
1951,emng orang semakin tua semakin rancau,memang makin tua makin rancau,Negatif,Negatif,
3334,waduhh ini presiden isi otaknya apa kalau ini benar bahaya presiden seperti ini,waduh presiden isi otak benar bahaya presiden,Negatif,Negatif,
3694,kami pelosok kalimantan pake ringgit malaysia sorry ye pak prabowo subianto sorry ye ye ye ye ye ye ye ye,pelosok kalimantan pakai ringgit malaysia sorry ye bapak prabowo subianto sorry ye ye ye ye ye ye ye ye,Negatif,Netral,
5266,cintai produk dalam negeri jika ingin rupiah stabil dan rakyat akan sejatera lapangan kerja mudah,cinta produk dalam negeri ingin rupiah stabil rakyat sejatera lapang kerja mudah,Positif,Positif,
484,bisa aja periode karena pendukungnya banyak dari pekerja em be gee dan yang merasaa di untungkan dari adanya emmm beee geee akhirnya terjadilah politik eeem bee geee,saja periode dukung kerja em be gee merasaa untung ada emmm beee geee akhir jadi politik eeem bee geee,Negatif,Negatif,
4415,bayar utang luar negeri pakai daun wo,bayar utang luar negeri pakai daun wo,Negatif,Negatif,
6862,emang lagi luculucunya umur segini,memang luculucunya umur gin,Negatif,Positif,
4767,orang koplak makanya sering dibohongi anak buahnya,kocak makanya sering bohong anak buah,Negatif,Negatif,
5145,anak kecil aja ngerti masa gak malu sama anak kecil yang pintar,anak kecil saja erti masa tidak malu sama anak kecil pintar,Negatif,Negatif,
2211,di luar nurul dah,luar nurul,Netral,Negatif,
3095,pembodohan rakyatmemang sih transaksi jual belinya pake rupiahtp efek lemahnya rupiah adalah harga harga pd naik menyesuaikan dollarwahai rakyat indonesiabangunlah dari mimpi buruk bangsa inijangan mau terus dibodohi pemerintah,bodoh rakyatmemang transaksi jual beli pakai rupiahtp efek lemah rupiah harga harga naik sesuai dollarwahai rakyat indonesiabangunlah mimpi buruk bangsa inijangan mau terus bodoh perintah,Positif,Negatif,
8805,iya udah tua.... ngelantur...jalan aja sudah pincang,tua ngelanturjalan saja pincang,Negatif,Negatif,
7481,president terbodoh sepanjang indonesia merdeka,president bodoh panjang indonesia merdeka,Positif,Negatif,
8386,apa saja dikomen kata si wowoga ada kerjaan lain ya pak,saja dikomen kata wowoga kerja lain bapak,Negatif,Negatif,
501,yg ptg joget,ptg joget,Netral,Netral,
1091,nalar gk sih dia,nalar tidak,Netral,Netral,
4360,percayalah presiden kita itu patriot dia hanya mementingkan rakyatnya dari pada dirinya sendiri,percaya presiden patriot hanya penting rakyat diri sendiri,Negatif,Negatif,
3182,serius ni mau dibiyarin aja kepala negara kya gini,serius mau dibiyarin saja kepala negara kaya begini,Negatif,Negatif,
8063,tdk peduli d kritisibrkata yg d atas brisik,tidak peduli kritisibrkata atas brisik,Negatif,Negatif,
2271,sprti anak keciltukang omon,anak keciltukang omon,Negatif,Negatif,
3317,habis jln pke pesawatimbas dolar naik minyak naek rakyat yg ssh,habis jalan pakai pesawatimbas dolar naik minyak naik rakyat ssh,Netral,Negatif,
1369,ambyar kalau boss nya beginirakyat tanggung jawab,ambyar bos beginirakyat tanggung jawab,Negatif,Negatif,
5573,jgn nonton ini bikin bad mood nonton aja video kdm atau shelly biar mood kita baik,jangan tonton bad mood tonton saja video kdm shelly biar mood baik,Negatif,Negatif,
3089,presidennya j mikirnya gituspalagi penasehatnyahadeuh,presiden saja mikirnya gituspalagi penasehatnyahadeuh,Netral,Negatif,
1113,presiden terburuk,presiden buruk,Negatif,Negatif,
7670,presiden goblokmundur aja bangsattai jokowi lo,presiden goblokmundur saja bangsattai jokowi,Netral,Negatif,
4166,setelah periode serakah menuju periode terbodoh belum dah bangkrut ges,telah periode serakah tuju periode bodoh belum bangkrut ges,Netral,Negatif,
120,ada yang tahu alasan audiennya tepuk tangan,tahu alas audiennya tepuk tangan,Negatif,Negatif,
5271,meningan bocah ini dari pak presidenbrmasa kalah pintar sama bicah sd,ning bocah bapak presidenbrmasa kalah pintar sama bicah sd,Netral,Negatif,
8646,"gue rasa ilmu lo sama ilmu gue 7 tahun di area hukum, tinggian ilmu gue sih. tinggal jawab aja, ponakan prabowo di bi itu bentuk independensi atau bukan?",rasa ilmu sama ilmu tahun area hukum tinggi ilmu tinggal jawab saja ponakan prabowo bi bentuk independensi bukan,Netral,Netral,
1414,minyak pak presiden kok naik,minyak bapak presiden kok naik,Positif,Positif,
3288,siapa yg pilih dia jadi presiden rakyat yang di siksa,pilih presiden rakyat siksa,Negatif,Negatif,
4343,ya kamu yg di bohongisama koruptor yg biasa impor kau ngoceh aja tp goblok naik nya brapa sih yg naik bukan kita aja kokkamu takut lapar yaaaaa,bohongisama koruptor biasa impor kau oceh saja goblok naik berapa naik bukan saja kokkamu takut lapar yaaaaa,Negatif,Negatif,
1747,wowo memang kalo pidato suka nggak jelas asl ceplos nggak pake otak presiden omonquot ceo mbg,prabowo memang pidato suka tidak jelas asl ceplos tidak pakai otak presiden omonquot ceo mbak,Netral,Negatif,
4129,negara ini akan hancur dipimpin oleh presiden yg otaknya koplak,negara hancur pimpin presiden otak kocak,Negatif,Negatif,
3945,wowokamu itu presiden tapi kokpekok banget apa mungkin kamu benar sudah pikun,wowokamu presiden kokpekok banget mungkin benar pikun,Negatif,Negatif,
2725,pemimpin bodoh lahir dari pemilih yang bodoh jugaini lah diabrbisa ny ngomong seperti itukayak indonesia ini sudah mandiri aja dalam segala bidang,pimpin bodoh lahir pilih bodoh jugaini diabrbisa omong itukayak indonesia mandiri saja dalam segala bidang,Negatif,Negatif,
5260,presiden sama anak sd pinter anak sd,presiden sama anak sd pintar anak sd,Netral,Negatif,
533,saya didesa apa naik pa walaw pakai rupiah bayarnya biasa beli cilok goceng sekarang dapet,desa naik walaw pakai rupiah bayar biasa beli cilok goceng sekarang dapat,Negatif,Negatif,
1761,presiden terburuk sepanjang sejarah,presiden buruk panjang sejarah,Netral,Negatif,
2329,presiden ter omon omon,presiden ter omon omon,Positif,Netral,
3915,berdoa ajabiar prabowo dan purbaya jadi manusia super yg bisa turunin dollar jadi rb,doa ajabiar prabowo purbaya manusia super turunin dollar ribu,Negatif,Negatif,
374,di pikir kita goblok kaliya brdia ngomong gitu lu pada ngerasa gak terhina apa,pikir goblok kaliya brdia omong rasa tidak hina,Negatif,Negatif,
97,omongan macam apa ini pak,omong macam bapak,Negatif,Negatif,
6482,pak pupuk subsidi sulit di dapat yang ada non subsidi rb urea nya,bapak pupuk subsidi sulit dapat non subsidi ribu urea,Negatif,Negatif,
4008,jelas sekali presidennya dikelilingi org yg gak jelas,jelas sekali presiden keliling tidak jelas,Positif,Negatif,
1741,makan tai kamu sediri pak presiden prabowo subianto ingat kamu lupa cuci tangan pesan raja pulau kalimantan anak setan hidup lagi oleh nabi muhammad jangan naik di dekat kbah banyak uang haram,makan tahi diri bapak presiden prabowo subianto ingat lupa cuci tangan pesan raja pulau kalimantan anak setan hidup nabi muhammad jangan naik dekat kbah uang haram,Negatif,Negatif,
519,setengah periode cukup,tengah periode cukup,Negatif,Negatif,
7685,siapa yg berani kritik langsung nih sapa tau dia ga main sosmed,berani kritik langsung sapa tau tidak main sosmed,Negatif,Negatif,
7612,orang desa gak pakek sini main ke daerah ku woo disini orang desa kerjanya ke eropaasinggris australia jepang dll woo walau ilegal untung lo punya rakyat kuat kalau gak hancur kalian para pejabat stop az mbg mu wo malah memperlemah rupiah,desa tidak pakai main daerah woo sini desa kerja eropaasinggris australia jepang dll woo walau ilegal untung punya rakyat kuat tidak hancur kalian para jabat stop az mbak wo malah lemah rupiah,Negatif,Negatif,
10220,"nikmatin ajalah ya pilihan kalian, gw udah di fase cape buat marah tapi sedih kek dosa apa kita yaallah hidup di negara yg pemerintahannya amburadul kaya gini",nikmat aja pilih kalian fase capek buat marah sedih kayak dosa yaallah hidup negara perintah amburadul kayak begini,Negatif,Negatif,
6072,lihat dari cara ngomongnya deh tidak ada bobotnya semua cara bicaranya seperti orang kosong kek lagi ngomong sama anak sd bodoh sekali,lihat cara omong tidak bobot cara bicara kosong kayak omong sama anak sd bodoh sekali,Negatif,Negatif,
9618,bukan masalah aman aman pak... tp harga semua bahan pokok udah tidak sebanding dg pendapatan,bukan masalah aman aman bapak harga bahan pokok tidak banding dapat,Positif,Positif,
9056,masyaallah sampai sini yee datok hahaha,masyaallah sampai datok hahaha,Negatif,Netral,
5546,ah busyet sepanjang sejarah bumi baru kali ini ada presiden yang diajarin ama bocil sd,busyet panjang sejarah bumi baru kali presiden ajar sama bocil sd,Positif,Negatif,
8515,gila ko bisa gini amat,gila kok begini amat,Negatif,Negatif,
2514,astagfirulloh malah ngomong begitu jngn kn orang desa orang kota orang utan pun gak pake dolar bpk ini waras apa enggak sih heran saya ko ada pemimpin seperti bpk klo dolar naik pak semua kena dampak nya,astagfirulloh malah omong jangan desa kota utan tidak pakai dolar bpk waras enggak heran kok pimpin bpk dolar naik bapak kena dampak,Negatif,Negatif,
6420,nyetak uang diam diam korupsi diam diam hasilnya rupiah hancur diam diam gegara ponakan dijadikan deputi bi sekarang rakyat yg terhimpit mundur lah wo,nyetak uang diam diam korupsi diam diam hasil rupiah hancur diam diam gegara ponakan jadi deputi bi sekarang rakyat terhimpit mundur wo,Negatif,Negatif,
3434,orang tertolol di negri ini,tolol negeri,Negatif,Negatif,
7557,orang goblok saja yang bisa dibohongi,goblok saja bohong,Negatif,Negatif,
4484,sekritisquot para kritikus masih diperhalus bahasanya direzim ini klu ini terjadi diera mulyono sdh pasti bahasanya blak blakan presiden dungu lh presiden bocor alus lah inilah bukti usaha pembungkaman para kritikus rezim sekarang,sekritisquot para kritikus masih halus bahasa rezim jadi era mulyono pasti bahasa blak blakan presiden dungu boleh presiden bocor alus ini bukti usaha bungkam para kritikus rezim sekarang,Negatif,Negatif,
1085,dia tidak katakan tidak ada efeknya tap negara siap menyerap nilai tukarnya beras dan bensin aman harga tetap,tidak kata tidak efek tap negara siap serap nilai tukar beras bensin aman harga tetap,Positif,Negatif,
8629,biar si wok bisa tidur ae,biar wok tidur saja,Negatif,Negatif,
8026,sekelas presiden otaknya seperti ini,kelas presiden otak,Negatif,Negatif,
7347,ganti pemimipin aamiin,ganti pemimipin amin,Negatif,Negatif,
577,yg ditakutkan tuh krisis monoter klo pak,takut tuh krisis monoter bapak,Negatif,Negatif,
8867,11/100 masih ketinggian kalo kata gua mah,masih tinggi kata gua mah,Negatif,Negatif,
9323,"disini dari 15 naik 16 naspad,esteh 4k jd 5k",sini naik naspadesteh,Netral,Netral,
7526,siapa yg nyesatin pikiran wowo,nyesatin pikir prabowo,Negatif,Negatif,
1964,dikira semua rakyat indonesia tinggal di desa,kira rakyat indonesia tinggal desa,Negatif,Netral,
6004,maksudnya gimana sih orang ini,maksud bagaimana,Netral,Netral,
1181,yg angguk angguk itu sama sama dngo nya,angguk angguk sama sama dngo,Positif,Negatif,
9705,ya minimal cari tau dulu jangan asbun tlaktor pake partalit,minimal cari tau dulu jangan asbun tlaktor pakai partalit,Negatif,Negatif,
4100,ingat fakta warga negara indonesia itu salah satu iq terendah didunia buktinya pilih presiden dan wakilnya kayak begitu,ingat fakta warga negara indonesia salah satu iq rendah dunia bukti pilih presiden wakil kayak,Negatif,Negatif,
2610,mikir dikit napa,mikir dikit kenapa,Negatif,Negatif,
8901,2029 i miss u serius kangen banget ‍,miss lu serius kangen banget,Negatif,Positif,
8310,klo kata pak anis tentang scorenya pak prabowo,kata bapak anis tentang scorenya bapak prabowo,Negatif,Netral,
2589,ditunggu pak tembus rb,tunggu bapak tembus ribu,Netral,Netral,
7911,lha emang bener kok kemaren beli beras pake dollar ga bisa,memang benar kok kemarin beli beras pakai dollar tidak,Negatif,Negatif,
5350,jd presiden aja de gua pilih lu asli drpd yg skrg malah statement quotorang desa ga pakai dolarquot,presiden saja gua pilih asli daripada sekarang malah statement quotorang desa tidak pakai dolarquot,Negatif,Negatif,
2772,cap opo si omon ini ancurrrr ancurrr,cap opo omon ancurrrr hancur,Netral,Negatif,
9057,bener banget ka sekarang berasa cepat banget uang abis padahal belanja dikit aja,benar banget sekarang asa cepat banget uang habis belanja dikit saja,Negatif,Negatif,
5894,kenapa rupiah melemah pak baru bentar eh udah naik aja soalnya entar lagi udah tiga ribu aja bukan kayak bj habibibrpak buat apa mbg udah ribu orang yang ka hrefhttpwwwyoutubecomresultssearchqueryrraa hrefhttpwwwyoutubecomresultssearchqueryuuaa hrefhttpwwwyoutubecomresultssearchqueryanana udah yang pilih pak bowo jagan dipilih lagi dia tuh brpak dolar tuh paling lemah di tagan bran ba konbrpak bowo br,kenapa rupiah lemah bapak baru bentar naik saja soal entar tiga ribu saja bukan kayak bj habibibrpak buat mbak ribu href href href pilih bapak bowo jagan pilih tuh brpak dolar tuh paling lemah tagan bran ba konbrpak bowo,Negatif,Negatif,
9196,"daun jeruk, daun kunyit jngan lupa🤣",daun jeruk daun kunyit jangan lupa,Positif,Positif,
3283,ah ngomong naon tambah ga nyambung ngomong teh lieur aing mah,omong naon tambah tidak sambung omong teh lieur aing mah,Negatif,Negatif,
2849,saya cuma bisa ngomng selamat menikmati pemimpin pilihan aanda,cuma omong selamat nikmat pimpin pilih aanda,Netral,Negatif,
2466,bro gw ga pernah speak up ttg pemerintah indonesia gw dulu kaga peduli tapi lama kelamaan kaliannn semuaaa ngentoddddddd,tidak speak up tentang perintah indonesia dulu kagak peduli lama lama kalian ngentoddddddd,Negatif,Negatif,
3018,bernar bodoh si wowo emangnya orang desa ga kenak imbasnya dolar naik lah bbm n kebutuhan seharihari naik itu karena dolar naik wowo yg lebih parah orang desa lah,bernar bodoh prabowo memang desa tidak nak imbas dolar naik bbm butuh seharihari naik dolar naik prabowo lebih parah desa,Negatif,Negatif,
1537,warga pasti senang nih,warga pasti senang,Netral,Netral,
4114,wowo blunder blunder dan blinder,prabowo blunder blunder blinder,Netral,Negatif,
7079,ngomong ap si omom omon,omong omom omon,Negatif,Negatif,
8388,aku setuju memang bpk kita perlu kasih makan mbg biar cerdas tapi kena allah harus kasih pemimpin negeri seperti ini,tuju memang bpk perlu kasih makan mbak biar cerdas kena allah harus kasih pimpin negeri,Negatif,Negatif,
5275,misalnya gadekno sawa dimadura ngukurnya pakek dolarrrrrrr,misal gadekno sawa dimadura ngukurnya pakai dolarrrrrrr,Netral,Netral,
5309,wowo bs sampai posisinya skrg krna mantan mantu mafia terbesar negeri ini jd ga paham ekonomi wong bisnis doi bnyak bgt yg bangkrut tp ga miskin taunya yg penting direkening die masih ada duit miliaran rupiah dan jutaan dollar di bank lokal maupun bank luar mo kabur ke luar negeri udah biasa buat die aman wong pnya properti diluar negeribrtlg wo stop omon krna smakin bnyak omon smakin ancur citra mu wo,prabowo sampai posisi sekarang mantan mantu mafia besar negeri tidak paham ekonomi wong bisnis doi banget bangkrut tidak miskin tau penting rekening die masih duit miliar rupiah juta dollar bank lokal maupun bank luar mau kabur luar negeri biasa buat die aman wong punya properti luar negeribrtlg wo stop omon makin omon makin hancur citra wo,Negatif,Negatif,
1852,males komen percuma presidennya anti kripik,malas komen percuma presiden anti kripik,Negatif,Negatif,
7592,cafe deeech,cafe deeech,Netral,Netral,
4512,gk ngaruh,tidak ngaruh,Netral,Netral,
7230,ini pelajaran paling penting untuk rakyat harus pilih sendiri pemimpinya bukan pilihan dari partai sudah saatnya kita pintar untuk perubahan indonesia,ajar paling penting rakyat harus pilih sendiri mimpi bukan pilih partai saat pintar ubah indonesia,Negatif,Negatif,
5245,makan tu mbg banyak banyak oke gas oke gas,makan mbak gas gas,Negatif,Negatif,
3707,udah tua makin pikun aja bener presiden mirisss,tua makin pikun saja benar presiden mirisss,Negatif,Negatif,
9053,"dia tau cara menyenangkan ternak"" ya bg, soalnya ternak"" nya yg penting dibagi pakan tiap hari(bansos atau mbg) dia uda diam🤣",tau cara senang ternak soal ternak penting bagi pakan tiap haribansos mbak diam,Negatif,Negatif,
8567,hai antek antek asingbrgara dollar naik harga naik semua minyak goreng beras gula plastik dll tahu nggak,antek antek asingbrgara dollar naik harga naik minyak goreng beras gula plastik dll tahu tidak,Negatif,Negatif,
9409,waduh yg seneng yg kerja diluar negeri dong.,waduh senang kerja luar negeri,Negatif,Negatif,
959,biasanya menculik rakyat bicara rupiah iyaaa gak nyambung ilmunya gak mumpuni,biasa culik rakyat bicara rupiah tidak sambung ilmu tidak mumpuni,Positif,Negatif,
108,maaf pak presidentbremang rakyat di desa tidak pakai dolar buat belanja begitu juga denga rata orang di kotamereka belanja harian tidak makai dolarbrmasalahnya barang yg rakayat belanja di datangkan dengan menggunakan dolar otomatis harganya kalau dijual ke rupiah pasti mahalbrpunya president kok goblokmaaf bukan menghina tpi ini fakta soal apa yg bpk katakan buka data pak bps statistik dan badan pangan indonesiabawang putih diimporgandum diimporkedelaitepungdlljadi kami rakyat belanjanya bahan impor di pasarpunya president hanya tau asal omonomon ajarupia melemah itu bukan hal sepeleh pak rbu kta bawa ke usa hanya dpat atau pcs pizzabukan gtu konsepnya pak presidentini sejarah loh rupiah anjloksejarah pula baru president prabowo yg bikin anjlok rupiahtrue dengan enteng anda pidato mengtakan ini itugda lagi periode ke untuk anda pak president diberikan kesmptan malah gk tau diri,maaf bapak presidentbremang rakyat desa tidak pakai dolar buat belanja denga rata kotamereka belanja hari tidak maka dolarbrmasalahnya barang rakayat belanja datang guna dolar otomatis harga jual rupiah pasti mahalbrpunya president kok goblokmaaf bukan hina fakta soal bpk kata buka data bapak bps statistik badan pangan indonesiabawang putih diimporgandum diimporkedelaitepungdlljadi rakyat belanja bahan impor pasarpunya president hanya tau asal omonomon ajarupia lemah bukan hal peleh bapak rbu bawa hanya dpat pcs pizzabukan konsep bapak presidentini sejarah rupiah anjloksejarah pula baru president prabowo anjlok rupiahtrue enteng anda pidato mengtakan itugda periode anda bapak president beri kesmptan malah tidak tau diri,Negatif,Negatif,
9530,"bang lebih bagus bgt loh menyesal,dari pada udah tau tapi masih ngeyel",abang lebih bagus banget menyesaldari tau masih ngeyel,Negatif,Negatif,
7196,ayo bangkrutkan negara ini pak,ayo bangkrut negara bapak,Netral,Negatif,
2817,salah piliih,salah piliih,Negatif,Negatif,
4872,pantasan kalah h sampe xdpt bintang karna mertuanya asli prestasinya ngk ada sama sekali lebih baik jokowi kemanamana,pantas kalah sampai xdpt bintang mertua asli prestasi tidak sama sekali lebih baik jokowi kemanamana,Negatif,Negatif,
8679,percuma bang🤣ga ngerti dia,percuma bangga erti,Negatif,Negatif,
8299,pemimpin bungul dan tolol,pimpin bungul tolol,Negatif,Negatif,
2971,ya allah selamatkan negriku ya allah,allah selamat negriku allah,Positif,Negatif,
851,gumana caranya indonesia bertahan sampai tahun kalau setahun aja udah kayak gini,gumana cara indonesia tahan sampai tahun tahun saja kayak begini,Negatif,Negatif,
1796,jagn kaget guys brapa yg di harapkan dari presiden yg wakilnya masih bocah,jagn kaget guys berapa harap presiden wakil masih bocah,Negatif,Negatif,
9381,"kalau misal iya, apa yg anda lakukan kak ?",misal anda laku,Negatif,Negatif,
731,sumpah dia niatnya mau ngibul ga paham atau bagaimana itu semua yg duduk di depan nya ga bakal kena imbas dollar naek org gajinya di atas jt semua sekelas menteri dan jendral yg gaji rakyat pula gilaaaa negara ini,sumpah niat mau ngibul tidak paham bagaimana duduk depan tidak bakal kena imbas dollar naik gaji atas juta kelas menteri jenderal gaji rakyat pula gila negara,Negatif,Negatif,
1942,yang nanggung beban bukan kamu cok tapi orang desa orang miskin umkmmikir dong otak mu jangan omon omon,nanggung beban bukan cok desa miskin umkmmikir otak jangan omon omon,Negatif,Negatif,
6341,mantan tentara hutan,mantan tentara hutan,Netral,Netral,
2031,kok bisa yabadut lagi ngomong ngelantur ditepuktangani dan diketawainlucunya dimana,kok yabadut omong ngelantur ditepuktangani diketawainlucunya mana,Negatif,Negatif,
6523,dikira orang desa mau dibodohi kayakjaman orba rakyat deaa dahlia cedas boz sekarang,kira desa mau bodoh kayakjaman orba rakyat deaa dahlia cedas boz sekarang,Negatif,Negatif,
81,itu yang tepuk tangan dibelakang prabowo itu penjilat penghianat bangsa,tepuk tangan belakang prabowo jilat penghianat bangsa,Negatif,Negatif,
1663,kaum hombreng jadi presiden,kaum hombreng presiden,Positif,Negatif,
